field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
dm_subjid,demographics,,text,"Subject Number",,,,,,,,y,,,,,
dm_usubjid,demographics,,text,"Subject ID",,,subject_id,,,,,y,,,,,
dm_suppdm_hcvt1idf,demographics,,radio,"Is subject carried forward from HCV-TARGET 1.0?","N, NO|Y, YES",,,,,,,y,,,,,
dm_suppdm_hcvt1id,demographics,,text,"HCV-T 1.0 Subject ID",,,subject_id,,,,"[dm_suppdm_hcvt1idf] = 'Y'",y,,,,,
dm_suppdm_hcvt2idf,demographics,,radio,"Is subject carried forward from HCV-TARGET 2.0?","N, NO|Y, YES",,,,,,,y,,,,,
dm_suppdm_hcvt2id,demographics,,text,"HCV-T 2.0 Subject ID",,,subject_id,,,,"[dm_suppdm_hcvt2idf] = 'Y'",y,,,,,
dm_suppdm_hcvt3idf,demographics,,radio,"Is subject carried forward from HCV-TARGET 3.0?","N, NO|Y, YES",,,,,,,y,,,,,
dm_suppdm_hcvt3id,demographics,,text,"HCV-T 3.0 Subject ID",,,subject_id,,,,"[dm_suppdm_hcvt3idf] = 'Y'",y,,,,,
dm_sex,demographics,,radio,Sex,"F, Female|M, Male",,,,,,,y,,,,,
dm_race,demographics,,radio,Race,"BLACK_OR_AFRICAN_AMERICAN, Black or African American|AMERICAN_INDIAN_OR_ALASKA_NATIVE, American Indian or Alaska Native|ASIAN, Asian|NATIVE_HAWAIIAN_OR_OTHER_PACIFIC_ISLANDER, Native Hawaiian or other Pacific Islander|WHITE, White|NOT_REPORTED, Not Reported|OTHER, Other",,,,,,,y,,,,,
dm_ethnic,demographics,,radio,"Ethnic Group","NOT_HISPANIC_OR_LATINO, Not Hispanic or Latino|HISPANIC_OR_LATINO, Hispanic or Latino|NOT_REPORTED, Not Reported|OTHER, Other",,,,,,,y,,,,,
dm_brthyr,demographics,,text,"Birth Year",,YYYY,,,,,,y,,,,,
height_vstestcd,demographics,,descriptive,HEIGHT,,,,,,,"0 = 1",,,,,,
height_vstest,demographics,,descriptive,Height,,,,,,,"0 = 1",,,,,,
height_vsorres,demographics,,text,Height,,,number,48,84,,"[height_vsperf] != 'N'",y,,,,,
height_vsorresu,demographics,,radio,"Height Unit","cm, cm|IN, IN",,,,,,"[height_vsperf] != 'N'",y,,,,,
weight_vstestcd,demographics,,descriptive,WEIGHT,,,,,,,"0 = 1",,,,,,
weight_vstest,demographics,,descriptive,Weight,,,,,,,"0 = 1",,,,,,
height_vsperf,demographics,,radio,"Height Recorded?","N, NO|Y, YES","Indicate if the vital signs were collected. If yes, include the appropriate details where indicated on the CRF.",,,,,"[height_vsorres] = ''",y,,,,,
